zip,Tot_Srvcs,Tot_Benes,Avg_Mdcr_Alowd_Amt,age_65_plus,median_income,population,pct_bachelors_plus
85210,634717.0,73927,138.5231768409641,3269.0,57480.0,41434.0,0.5061208423538673
85212,123352.0,41480,172.95301298260912,4704.0,119951.0,46153.0,0.4437115978755164
85213,58474.0,20655,131.8176148360609,6305.0,95831.0,37593.0,0.48068686706960734
85215,65526.0,31411,108.99725564857273,4606.0,82171.0,16525.0,0.5074944837556113
85224,1573335.0,366199,133.98347613034457,5199.0,88121.0,49159.0,0.4407471136767318
85225,289825.0,41859,78.62343408022586,6810.0,78129.0,73116.0,0.4706183665942712
85226,279452.0,64914,98.37458278811468,4166.0,101669.0,41734.0,0.3554840035623758
85233,110479.0,23021,181.01567968701175,5205.0,99401.0,38637.0,0.4234383846008681
85234,971518.5,224463,131.13113951611805,5063.0,110735.0,49466.0,0.4034040949629443
85236,2771.0,1144,85.77647529324999,0.0,-666666666.0,0.0,
85248,192978.8,63693,77.34220622622915,12977.0,87881.0,36305.0,0.36056041078654744
85249,58139.5,19907,75.60294227068901,7533.0,145036.0,46377.0,0.33234901886073537
85250,29494.0,15548,71.81760299332491,3641.0,88608.0,15290.0,0.36043698790479906
85251,1603628.0,360719,124.3426479775269,5698.0,86201.0,40709.0,0.3072230124861704
85253,179172.0,35096,152.13406899119772,4395.0,172857.0,17149.0,0.22219749239557832
85254,905256.0,224934,106.38609458786111,8510.0,114968.0,45207.0,0.3127231228419266
85255,774570.8,215571,160.00631332681743,10385.0,136486.0,43685.0,0.23615368590220528
85256,22579.0,15304,315.0052015638751,327.0,43560.0,4139.0,0.6194876102477951
85257,43813.0,16955,144.73270848910187,4276.0,81382.0,30133.0,0.4002106149957877
85258,1567141.5,512836,168.91369085304154,7316.0,99802.0,25479.0,0.2704418232706917
85259,4871654.0,1094245,95.96028213250901,4755.0,140533.0,22241.0,0.2415473290153901
85260,1603430.5,296932,210.0831989886513,6611.0,101112.0,38627.0,0.31004233700254025
85262,12080.0,5299,55.876732290007496,4891.0,177965.0,13126.0,0.31448040885860307
85263,5088.6,307,259.77130222635003,2060.0,135889.0,3221.0,0.3047956227872546
85264,914.5,115,318.116456397,132.0,77833.0,1370.0,0.5303398058252428
85266,51839.0,22291,102.4717653812834,4962.0,150699.0,12187.0,0.23182215318901078
85268,475825.0,40921,69.54629460658057,7877.0,100566.0,23904.0,0.38412729886481933
85281,94541.1,43849,123.01352665737863,3689.0,55572.0,68623.0,0.36059829059829057
85282,329258.0,95120,131.11092319874845,6005.0,72895.0,52828.0,0.422897072107976
85283,165947.0,70113,130.5631851083065,4781.0,76645.0,45739.0,0.406049089469517
85284,127305.0,40029,105.20086971571519,3045.0,147500.0,19150.0,0.21092684327661712
85286,279671.0,100079,137.96936080916143,4455.0,114480.0,48183.0,0.3212465320343248
85295,441986.2,123839,149.93062885929444,3094.0,113168.0,54556.0,0.35484072065332584
85296,100419.0,35964,93.10338805230117,3630.0,112832.0,50570.0,0.37360885128538884
85297,1136365.0,149087,184.53069416651195,2414.0,129508.0,34212.0,0.398093262201146
85298,32046.0,12894,68.64087319775265,5747.0,141533.0,42090.0,0.3630038022813688
85301,109197.0,21806,68.6183816916151,5718.0,45837.0,67781.0,0.5369910497180402
85302,32422.0,15679,66.3681300812134,5666.0,57995.0,40331.0,0.5517724224334881
85303,2654.0,2024,76.400621064645,2486.0,70090.0,35194.0,0.5807357350211774
85304,927203.0,132408,81.90833428321827,4664.0,81866.0,29566.0,0.572040237296879
85305,43109.0,10290,77.59064799481337,1144.0,95625.0,15146.0,0.5513519070628149
85306,1607931.0,195958,145.8409845188529,3341.0,74118.0,24652.0,0.5552772600186393
85307,11455.0,5332,128.37756303868727,885.0,70793.0,12162.0,0.524780515434721
85308,793507.0,235572,163.5621829925122,9631.0,91968.0,63789.0,0.4778430093498587
85309,13261.0,6021,83.055034457625,0.0,-666666666.0,807.0,0.41
85310,27125.0,8677,108.8439064937096,2497.0,111818.0,19224.0,0.39394610557401255
85321,26650.9,678,122.8583546503077,1101.0,43309.0,3621.0,0.5447498238195913
85323,17851.0,9449,80.00462820172834,2759.0,72547.0,45288.0,0.5313874450219912
85324,55.0,34,4.4414545455,762.0,48468.0,2408.0,0.5181532944867773
85326,156903.0,24898,136.35783685277627,6569.0,82456.0,73579.0,0.5655781413305463
85331,121273.0,27381,84.15264179352991,7029.0,117938.0,31133.0,0.3516099436410503
85335,4606.0,1943,81.56474939721952,3321.0,72134.0,35652.0,0.5471334952568626
85336,3638.0,1730,79.77164487306523,826.0,45305.0,9780.0,0.352884055156341
85337,3743.9,1501,74.764616861315,302.0,47358.0,2403.0,0.5114068441064639
85338,137838.0,36426,115.02256945130927,7728.0,93435.0,60922.0,0.4808299952728087
85339,21379.0,4892,62.470381721235945,4408.0,97057.0,50686.0,0.4968215479389213
85340,253801.0,88756,114.62484940833887,4558.0,111479.0,36167.0,0.443010483231007
85344,35085.5,12099,112.85695374955762,2271.0,53295.0,9106.0,0.6050344620916991
85345,31726.2,11390,91.22713870997536,7685.0,61628.0,61801.0,0.5818233564177971
85346,65.0,65,56.30106060599999,1127.0,19256.0,2614.0,0.4696903619712168
85349,12143.3,1477,109.93743403474572,2462.0,46801.0,26190.0,0.42006972111553786
85350,1956.9,371,125.73184665028666,1653.0,62813.0,19031.0,0.4548662704309064
85351,857037.9,243946,197.50396559530807,17762.0,50084.0,27857.0,0.6094159627148267
85353,7251.0,5556,60.55952907049011,2895.0,82271.0,44000.0,0.5399901663525363
85355,216.0,216,103.8086627899875,1444.0,111000.0,13136.0,0.5480291295803953
85356,4742.8,321,130.176975636125,1348.0,57721.0,3703.0,0.5121696801112656
85361,246.0,35,110.99731707,964.0,69226.0,7357.0,0.6216925873560897
85363,78.0,60,74.2242278655,866.0,56449.0,6980.0,0.6510238907849829
85364,928684.0,262793,132.13073803255213,10039.0,53877.0,71910.0,0.4896041451687268
85365,35289.0,8450,159.58083843500637,9339.0,64636.0,51394.0,0.5642168008357402
85367,1305835.0,82104,74.1179271971002,9810.0,52600.0,20761.0,0.6391989872252273
85373,40985.4,6117,68.99714045195172,8212.0,65748.0,20695.0,0.5604638964974649
85374,582138.5,216522,109.22708085893255,14971.0,76770.0,41814.0,0.5313413935538336
85375,583276.9,197360,147.74816196952304,18971.0,62048.0,26827.0,0.5422508810077229
85377,9348.0,1889,82.35357859442425,1597.0,122155.0,3575.0,0.30158730158730157
